,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
571,500107044,YouBike2.0_新生高架停車場(林森北路107巷口),14,2,中山區,2023-05-27 13:44:17,新生北路一段與林森北路107巷口(新生高架橋下),11,1
573,500107046,YouBike2.0_仁德公園,18,0,中山區,2023-04-17 00:35:05,吉林路108巷與南京東路二段21巷口東南側,18,0
574,500107047,YouBike2.0_中原公園,15,3,中山區,2023-05-27 13:39:14,新生北路二段45巷(中原公園西側),12,1
576,500107049,YouBike2.0_五常國中,16,1,中山區,2023-05-27 13:26:19,復興北路488巷2弄5號對側,14,1
577,500107050,YouBike2.0_榮星花園,38,1,中山區,2023-05-27 13:44:17,五常街77號對側,34,1
579,500107052,YouBike2.0_松江路431巷口,15,1,中山區,2023-05-27 13:40:10,松江路433號前,14,1
580,500107053,YouBike2.0_新喜公園,13,0,中山區,2023-05-27 13:12:04,德惠街170巷22號對側,12,1
581,500107054,YouBike2.0_吉林路407巷口,15,2,中山區,2023-05-27 13:44:06,吉林路401號前,12,1
583,500107056,YouBike2.0_林安泰古厝,22,2,中山區,2023-05-27 13:21:18,濱江街5號對側,20,1
584,500107057,YouBike2.0_中山公民會館,20,1,中山區,2023-05-27 13:36:04,中山北路二段128巷口,17,1
585,500107058,YouBike2.0_渭水八德路口,23,1,中山區,2023-05-27 13:11:15,渭水路54號對側,20,1
587,500107060,YouBike2.0_撫順公園,20,1,中山區,2023-05-27 13:39:14,中山北路三段2號對側,18,1
588,500107061,YouBike2.0_新生公園,16,0,中山區,2023-05-27 13:45:16,民族東路/吉林路口(西北側),16,1
591,500107064,YouBike2.0_建國農安街口,35,3,中山區,2023-05-27 13:39:14,建國北路/農安街口(建國橋下),30,1
592,500107065,YouBike2.0_松江路77巷口,10,1,中山區,2023-05-27 13:17:22,松江路77巷口,9,1
594,500107067,YouBike2.0_市民新生路口,15,2,中山區,2023-05-27 13:45:16,新生北路一段36號前,13,1
595,500107068,YouBike2.0_民權吉林路口,15,0,中山區,2023-05-27 13:43:04,民權東路二段51號前,14,1
597,500107070,YouBike2.0_捷運行政大樓,14,1,中山區,2023-05-27 13:38:14,中山北路二段48巷7號前,13,1
598,500107071,YouBike2.0_中吉公園(松江路188巷),22,1,中山區,2023-05-27 13:46:15,松江路188巷11號對側,21,1
599,500107072,YouBike2.0_吉林路123巷口,13,3,中山區,2023-05-27 13:22:15,吉林路125號前,10,1
