,編號,名稱,車輛數,可借,行政區,日期,地址,可還,狀態
102,500101157,YouBike2.0_東豐公園,19,1,大安區,2023-05-27 15:47:14,東豐街24號(旁公園路側),17,1
103,500101158,YouBike2.0_德安公園(四維路66巷),14,2,大安區,2023-05-27 15:40:22,四維路66巷6號北側,12,1
105,500101160,YouBike2.0_捷運忠孝敦化站(2號出口),17,1,大安區,2023-05-27 15:47:14,忠孝東路四段221號,16,1
106,500101161,YouBike2.0_捷運忠孝敦化站(7號出口),18,0,大安區,2023-05-27 15:32:04,忠孝東路四段143號,17,1
107,500101163,YouBike2.0_瑞安街208巷,15,5,大安區,2023-05-27 15:46:15,瑞安街208巷39號對面,10,1
108,500101165,YouBike2.0_樂利路21巷口,17,0,大安區,2023-05-27 15:45:05,樂利路25號,17,1
109,500101166,YouBike2.0_捷運科技大樓站(台北教育大學),46,0,大安區,2023-05-27 15:49:14,和平東路二段134號前,46,1
111,500101168,YouBike2.0_仁愛醫院,30,6,大安區,2023-05-27 15:45:15,仁愛路四段/大安路一段口(西南側),24,1
114,500101171,YouBike2.0_仁愛延吉街口,25,4,大安區,2023-05-27 15:48:14,仁愛路四段376號前,21,1
115,500101172,YouBike2.0_捷運信義安和站(1號出口),33,4,大安區,2023-05-27 15:47:14,信義路四段225號前,28,1
116,500101173,YouBike2.0_敦化南路二段103巷口,24,0,大安區,2023-05-27 15:32:04,敦化南路二段99號前,24,1
117,500101174,YouBike2.0_復興南路二段128巷口,28,0,大安區,2023-05-27 15:42:03,復興南路二段142之1號前,28,1
118,500101175,YouBike2.0_和平東建國南路口,17,4,大安區,2023-05-27 15:36:15,和平東路/建國南路口(北側),12,1
119,500101176,YouBike2.0_芳蘭山莊,16,1,大安區,2023-05-27 15:29:14,基隆路三段155巷148號,15,1
121,500101179,YouBike2.0_捷運東門站(5號出口),28,1,大安區,2023-05-27 15:49:14,信義路二段178號前,26,1
122,500101180,YouBike2.0_仁愛路四段48巷口,11,6,大安區,2023-05-27 15:49:14,仁愛路四段48巷/東豐街(北側),5,1
124,500101182,YouBike2.0_臺北科技大學(電機工程系),16,0,大安區,2023-05-27 15:48:04,忠孝東路三段100號對側,16,1
127,500101185,YouBike2.0_辛亥新生路口西北側,12,6,大安區,2023-05-27 15:48:14,辛亥路一段/新生南路三段(西北側),5,1
129,500101187,YouBike2.0_臥龍街195巷口,14,6,大安區,2023-05-27 15:21:16,臥龍街/臥龍街195巷(南側),7,1
130,500101188,YouBike2.0_辛亥路三段157巷口,19,0,大安區,2023-05-27 15:42:03,辛亥路三段與辛亥路三段157巷口西北側,19,1
131,500101189,YouBike2.0_臥龍基隆路口,16,5,大安區,2023-05-27 15:47:04,臥龍街與基隆路二段口東北側,11,1
132,500101190,YouBike2.0_敦親公園,20,5,大安區,2023-05-27 15:49:14,和平東路二段96巷8之1號(前方),15,1
134,500101192,YouBike2.0_和平敦化路口,25,4,大安區,2023-05-27 15:49:14,和平東路三段 / 敦化南路二段口(東側),20,1
135,500101193,YouBike2.0_基隆長興路口,43,1,大安區,2023-05-27 15:47:14,基隆路/長興街(東南側),42,1
136,500101194,YouBike2.0_仁愛路四段122巷口,16,1,大安區,2023-05-27 15:45:05,仁愛路四段118號前,15,1
137,500101196,YouBike2.0_市民敦化路口,15,3,大安區,2023-05-27 15:47:14,敦化南路一段111號前,12,1
141,500101200,YouBike2.0_全安公園,16,6,大安區,2023-05-27 15:48:14,安和路二段227巷16號對側,10,1
144,500101203,YouBike2.0_臺北遠企購物中心,33,0,大安區,2023-05-27 15:28:04,敦化南路二段201號前,32,1
145,500101204,YouBike2.0_外交部外交及國際事務學院,17,3,大安區,2023-05-27 15:48:14,敦化南路一段280號,14,1
146,500101205,YouBike2.0_四維路170巷口,22,0,大安區,2023-05-27 15:43:04,敦化南路二段92號對側中央分隔島,22,1
148,500101207,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,0,大安區,2023-05-27 15:39:04,羅斯福路三段201號旁,30,1
149,500101208,YouBike2.0_信義路四段199巷,15,4,大安區,2023-05-27 15:45:15,信義路四段199巷/安和路一段90巷口,10,1
151,500101210,YouBike2.0_敦化南路二段81巷,40,2,大安區,2023-05-27 15:42:14,敦化南路二段與敦化南路二段81巷口西北側,37,1
152,500101211,YouBike2.0_原臺北刑務所官舍,23,3,大安區,2023-05-27 15:48:14,金華街78號對側,20,1
154,500101213,YouBike2.0_懷生國中,15,3,大安區,2023-05-27 15:40:22,忠孝東路三段248巷30號,11,1
156,500101215,YouBike2.0_立人國小,17,6,大安區,2023-05-27 15:48:14,安和路二段/敦化南路二段81巷(西南側),8,1
158,500101217,YouBike2.0_捷運大安站(5號出口),19,1,大安區,2023-05-27 15:40:22,復興南路二段/信義路四段(東南側),15,1
159,500101218,YouBike2.0_臨江公園,13,0,大安區,2023-05-27 15:48:04,通化街143巷33號對側,12,1
160,500101219,YouBike2.0_羅斯福路四段113巷19弄口,14,1,大安區,2023-05-27 15:41:04,羅斯福路四段119巷84號對側,12,1
161,500101221,YouBike2.0_忠孝東路四段248巷口,15,3,大安區,2023-05-27 15:48:14,忠孝東路四段230號前,10,1
163,500101223,YouBike2.0_樂利路101巷口,13,1,大安區,2023-05-27 15:48:14,樂利路97號前,12,1
164,500101224,YouBike2.0_羅斯福浦城街口,15,4,大安區,2023-05-27 15:42:14,羅斯福路三段117號前,11,1
